mp_year,mp_month,mp_price
2008,1,178.5546875
2008,2,164.921875
2008,3,170.1953125
2008,4,182.45967741935485
2008,5,196.96875
2008,6,202.8671875
2008,7,190.86559354838707
2008,8,204.58064516129033
2008,9,231.54166666666666
2008,10,250.33653846153845
2008,11,268.0833333333333
2008,12,287.399424137931
2009,1,278.51666666666665
2009,2,276.9166666666667
2009,3,267.5
2009,4,269.32222333333334
2009,5,266.6895129032258
2009,6,223.27083666666667
2009,7,203.40322903225808
2009,8,193.91101612903225
2009,9,211.00497096774194
2009,10,233.3026870967742
2009,11,252.5309129032258
2009,12,258.73118387096775
2010,1,260.8372375
2010,2,254.86290322580646
2010,3,249.15000322580644
2010,4,243.81047741935484
2010,5,233.87902903225805
2010,6,199.12554516129032
2010,7,188.30868974358972
2010,8,199.02906756756755
2010,9,206.2942945945946
2010,10,212.92672413793105
2010,11,227.00384615384615
2010,12,232.15294749999998
2011,1,234.8049425
2011,2,225.3132175
2011,3,226.9618358974359
2011,4,240.5000575
2011,5,272.48870512820514
2011,6,246.88223250000001
2011,7,213.0199125
2011,8,225.7552275
2011,9,227.70362749999998
2011,10,230.9714375
2011,11,237.34402749999998
2011,12,257.8469083333333
2012,1,276.5875916666667
2012,2,294.23122727272727
2012,3,336.3134022727273
2012,4,385.1050217391304
2012,5,386.7355979166667
2012,6,358.7506462962963
2012,7,340.3053941176471
2012,8,351.4767039215686
2012,9,365.42105263157896
2012,10,371.9512195121951
2012,11,367.41320566037734
2012,12,367.12136
2013,1,364.33384468085103
2013,2,342.22
2013,3,337.64755454545457
2013,4,329.14989629629633
2013,5,292.9268725490196
2013,6,252.68733333333333
2013,7,229.93415555555555
2013,8,221.26388928571427
2013,9,229.08459473684212
2013,10,247.7780807017544
2013,11,253.12401228070175
2013,12,248.30096315789473
2014,1,241.8656245614035
2014,2,234.3315462962963
2014,3,257.96651296296295
2014,4,286.57831454545453
2014,5,314.8616019607843
2014,6,313.6556
2014,7,294.9410981481481
2014,8,313.2001320754717
2014,9,332.9623943396226
2014,10,337.81423125
2014,11,362.3234425925926
2014,12,376.56295531914895
2015,1,363.60102307692307
2015,2,354.0398215686275
2015,3,354.87586470588235
2015,4,384.83309444444444
2015,5,388.8096777777778
2015,6,354.1798035714286
2015,7,328.65832727272726
2015,8,330.45238035714283
2015,9,326.93588
2015,10,329.7281490196079
2015,11,331.7911846153846
2015,12,336.81730799999997
