mp_year,mp_month,mp_price
2008,1,138.19444444444446
2008,2,139.6
2008,3,147.91666666666666
2008,4,168.95833333333334
2008,5,152.39583333333334
2008,6,150.51041666666666
2008,7,140.97222916666666
2008,8,141.14583333333334
2008,9,140.625
2008,10,157.04545454545453
2008,11,162.96875
2008,12,150.75757727272727
2009,1,162.04545454545453
2009,2,164.64285714285714
2009,3,170.47619047619048
2009,4,180.24621363636362
2009,5,174.50396666666668
2009,6,173.52083181818182
2009,7,169.41304347826087
2009,8,170.17187083333332
2009,9,184.02790000000002
2009,10,197.88187826086957
2009,11,213.8786260869565
2009,12,214.2878772727273
2010,1,225.80034583333335
2010,2,223.5471
2010,3,223.32318695652174
2010,4,212.00724782608694
2010,5,198.2445652173913
2010,6,178.20555416666664
2010,7,171.2288806451613
2010,8,153.46301428571428
2010,9,154.34636923076923
2010,10,145.196664
2010,11,154.8991
2010,12,139.09568148148148
2011,1,130.102775
2011,2,132.04012592592593
2011,3,143.91337037037036
2011,4,170.12005
2011,5,171.532124
2011,6,177.21692608695653
2011,7,176.85
2011,8,168.59290416666667
2011,9,163.0806888888889
2011,10,172.81491851851854
2011,11,164.1643296296296
2011,12,170.94477142857144
2012,1,163.817446875
2012,2,174.86104516129032
2012,3,185.14382187500001
2012,4,200.62500303030305
2012,5,217.3909542857143
2012,6,198.09172702702702
2012,7,212.36904705882353
2012,8,210.78299459459458
2012,9,226.60714285714286
2012,10,247.3793103448276
2012,11,231.37388378378375
2012,12,216.49517027027025
2013,1,220.50952999999998
2013,2,226.72222222222223
2013,3,243.86736470588238
2013,4,260.88784375
2013,5,247.83341875
2013,6,228.37754857142858
2013,7,234.20024411764706
2013,8,228.12424242424242
2013,9,224.74573333333333
2013,10,243.53093243243245
2013,11,246.7668189189189
2013,12,237.622571875
2014,1,234.07555142857143
2014,2,237.1396257142857
2014,3,238.51712777777777
2014,4,241.6823909090909
2014,5,229.1217625
2014,6,236.54369393939393
2014,7,227.57070000000002
2014,8,226.05714285714285
2014,9,220.66881666666666
2014,10,217.74946250000002
2014,11,209.15625
2014,12,220.92626774193548
2015,1,208.85318529411762
2015,2,196.44186129032258
2015,3,214.6446193548387
2015,4,232.00101212121214
2015,5,235.85955882352943
2015,6,217.98522352941177
2015,7,217.92633636363635
2015,8,224.01156571428572
2015,9,222.81404857142857
2015,10,218.30194333333333
2015,11,230.62441935483872
2015,12,239.383332
