mp_year,mp_month,mp_price
2012,1,1006.1944195652173
2012,2,1241.099038095238
2012,3,1481.288731707317
2012,4,1498.898312195122
2012,5,1057.085828888889
2012,6,732.6580075471699
2013,5,795.3772039215686
2013,6,735.0954517857143
2013,7,837.7487363636365
2013,8,1468.0658490196076
2013,9,1952.8486020408163
2013,10,1940.3594222222223
2013,11,1070.0953368421053
2013,12,655.9043089285715
2014,1,823.8639905660377
2014,2,1265.2549434782609
2014,3,1608.61411875
2014,4,1247.926192
2014,5,1056.722186792453
2014,6,986.478279245283
2014,7,1171.74380625
2014,8,1158.2595959183675
2014,9,1209.0352056603774
2014,10,1087.66115625
2014,11,1009.0747232142858
2014,12,828.3088384615385
2015,1,934.2137392156862
2015,2,1044.352972
2015,3,1113.1415113207547
2015,4,1004.9749438596491
2015,5,976.4910754385966
2015,6,884.5521
2015,7,889.4237928571429
2015,8,1041.3602285714285
2015,9,1371.0901491228071
2015,10,1536.610701923077
2015,11,1276.7685823529412
2015,12,917.3678576923077
