mp_year,mp_month,mp_price
2012,1,307.993524
2012,2,405.3574630434782
2012,3,463.86502888888884
2012,4,448.53391489361707
2012,5,469.4902862745098
2012,6,378.22484464285714
2013,5,462.2253962962963
2013,6,461.20385172413796
2013,7,453.7647534482759
2013,8,399.5327186440678
2013,9,306.97095409836066
2013,10,273.1998196721311
2013,11,288.8456754098361
2013,12,284.8865655737705
2014,1,273.41163114754096
2014,2,374.97236842105264
2014,3,412.23772105263157
2014,4,403.11429482758615
2014,5,362.4290160714286
2014,6,350.4155
2014,7,408.340401754386
2014,8,370.9718052631579
2014,9,316.43550000000005
2014,10,309.2908
2014,11,373.5532081967213
2014,12,331.18645535714285
2015,1,333.01447368421054
2015,2,372.12399999999997
2015,3,363.105849122807
2015,4,425.5111540983607
2015,5,444.61346721311475
2015,6,377.58678852459013
2015,7,337.6774918032787
2015,8,372.9436262295082
2015,9,437.2509737704918
2015,10,402.7949357142857
2015,11,380.1409614035088
2015,12,367.7374357142857
