mp_year,mp_month,mp_price
2011,1,553.8858864864865
2011,2,730.6682260869566
2011,3,940.223515
2011,4,722.2132928571428
2011,5,594.8453923076924
2011,6,610.3438526315789
2011,7,670.3509799999999
2011,8,727.9462884615385
2011,9,874.421375
2011,10,1392.4263375
2011,11,834.2886852941176
2011,12,577.8375699999999
2012,1,680.3029
2012,2,894.2724545454545
2012,3,1299.0479666666665
2012,4,1249.73018
2012,5,967.2946066666666
2012,6,822.6707441860465
2012,7,736.0167470588235
2012,8,812.8540923076923
2012,9,988.0674576923077
2012,10,1299.666776
2012,11,995.4626944444444
2012,12,713.5697622222222
2013,1,682.4743
2013,2,807.6052653846153
2013,3,922.9554750000001
2013,4,945.924440625
2013,5,876.3593414634147
2013,6,763.1663357142858
2013,7,794.8315085714286
2013,8,1039.5595962962964
2013,9,1183.5788708333332
2013,10,1332.3899217391304
2013,11,1013.3063302325581
2013,12,631.0502622222223
2014,1,713.2194340909091
2014,2,989.9137916666667
2014,3,1161.186945
2014,4,1081.0877928571429
2014,5,826.6689615384615
2014,6,842.4810918918919
2014,7,840.9449931034483
2014,8,1015.3440034482759
2014,9,1248.8057959999999
2014,10,1436.18914375
2014,11,727.943969047619
2014,12,638.1228536585365
2015,1,812.0271514285714
2015,2,994.2653931034483
2015,3,1055.9852448275863
2015,4,1061.242893548387
2015,5,931.1989333333333
2015,6,864.1738377777777
2015,7,834.9395947368421
2015,8,894.8749741935484
2015,9,1203.9626592592592
2015,10,1499.9386
2015,11,1144.4936945945947
2015,12,836.926785
